state,population,att_school,electricity,piped_pump_water,no_toilet,healthcare_decisions,infant_mortality,antenatal,injections,iron_folic,deli_med_inst,deli_health_pro,breastfed,child_milkfood,child_anaemia,underweight,below_BMI,women_anaemia
India,1002.1,73.7,60.1,77.9,64,51.6,67.6,65.4,66.8,57.6,33.6,42.3,55.2,33.5,74.3,47,35.8,51.8
Delhi,14.1,90.8,97.7,98.7,5.6,68.7,46.8,83.5,84.9,77.8,59.1,65.9,13.2,37,69,34.7,12,40.5
Haryana,19.9,85.5,89.1,88,60.9,67.2,56.8,58.1,79.7,67,22.4,42,47.2,41.8,83.9,34.6,25.9,47
Himachal Pradesh,6.7,97.3,97.2,77.4,73,80.8,34.4,86.8,66.2,85.6,28.9,40.2,17.5,61.3,69.9,43.6,29.7,40.5
Jammu & Kashmir,10,77.5,90.1,70.6,49,55.5,65,83.2,77.7,70.8,35.6,42.4,41.5,38.9,71.1,34.5,26.4,58.7
Punjab,23.6,90,95.5,98.9,48.6,78.5,57.1,74,89.9,79.6,37.5,62.6,36.3,38.7,80,28.7,16.9,41.4
Rajasthan,53.9,63.2,64.4,69.8,71.8,40.6,80.4,47.5,52.1,39.3,21.5,35.8,53.7,17.5,82.3,50.6,36.1,48.5
Madhya Pradesh,80.2,70.8,68.1,63.5,77.8,36.6,86.1,61,55,48.9,20.1,29.7,64.2,27.3,75,55.1,38.2,54.3
Uttar Pradesh,171.5,69.4,36.6,85.6,73.3,44.8,86.7,34.6,51.4,32.4,15.5,22.4,56.9,17.3,73.9,51.7,35.8,48.7
Bihar,100.6,54.1,18.2,75.4,83.2,47.6,72.9,36.3,57.8,24.1,14.6,23.4,55.2,15,81.3,54.4,39.3,63.4
Orissa,36,75.1,33.8,65.3,86.5,38.6,81,79.5,74.3,67.6,22.6,33.4,58,30.1,72.3,54.4,48,63
West Bengal,79.3,76.7,36.7,89.3,54.9,45.1,48.7,90,82.4,71.6,40.1,44.2,48.8,46.3,78.3,48.7,43.7,62.7
Arunachal Pradesh,1.2,77.3,68.9,80.7,26.1,70,63.1,61.6,45.6,56.3,31.2,31.9,33.9,60.2,54.5,24.3,10.7,62.5
Assam,26.3,75,26.4,60.1,36.8,65.1,69.5,60.1,51.7,55,17.6,21.4,42.5,58.5,63.2,36,27.1,69.7
Manipur,2.5,87.8,75.3,48.9,8,43.3,37,80.2,64.2,50,34.5,53.9,69.7,86.8,45.2,27.5,18.8,28.9
Meghalaya,2.5,85.2,41.2,42.1,48,78.9,89,53.6,30.8,49.5,17.3,20.6,16.1,77.1,67.6,37.9,25.8,63.3
Mizoram,1,90.8,84.1,63.2,2.3,73.2,37,91.8,37.8,72.7,57.7,67.5,40.7,74.2,57.2,27.7,22.6,48
Nagaland,1.7,83.5,56.3,40.5,25.6,69.4,42.1,60.4,50.9,42.5,12.1,32.8,43.9,81.3,43.7,24.1,18.4,38.4
Sikkim,0.6,88.5,80.7,84.6,27.3,60.2,43.9,69.9,52.7,62.4,31.5,35.1,16.3,87.3,76.5,20.6,11.2,61.1
Goa,1.6,93.2,93.5,61.8,41.1,61.6,36.7,99,86.1,94.7,90.8,90.8,NA,65.4,53.4,28.6,27.1,36.4
Gujarat,48.5,72.8,84.3,84.5,54.9,71.4,62.6,86.4,72.7,78,46.3,53.5,65.2,46.5,74.5,45.1,37,46.3
Maharashtra,91.4,86.9,82.1,81.9,54,49.9,43.7,90.4,74.9,84.8,52.6,59.4,38.5,30.8,76,49.6,39.7,48.5
Andhra Pradesh,75.9,70.5,74.4,78.5,72.7,56.1,65.8,92.7,81.5,81.2,49.8,65.2,74.6,59.4,72.3,37.7,37.4,49.8
Karnataka,52.3,77.6,80.9,87,61.4,49.3,51.5,86.3,74.9,78,51.1,59.1,66.5,38.4,70.6,43.9,38.8,42.4
Kerala,32.4,97.4,71.8,19.9,14.8,72.6,16.3,98.8,86.4,95.2,93,94,68.5,72.9,43.9,26.9,18.7,22.7
Tamil Nadu,61.9,88.5,78.8,85,65.9,61.1,48.2,98.5,95.4,93.2,79.3,83.8,48.3,55.4,69,36.7,29,56.5
